Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,Supported Operating System,Mic In,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Title,Price,Image,Brand,Battery Cell,Vendor,Vendor Price,Quantity
"Laptop, Power Adaptor, User Guide, Warranty Documents",82H801L7IN | 82H802FJIN | 82H802L3IN | 82H801LHIN,0196118455495 | 0196379293072 | 0196800313836 | 0196118455235,15ITL6,IdeaPad 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1115G4,1.7 GHz upto max turbo frequency at 4.1 Ghz,6,Intel Integrated UHD,2.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",1 x HDMI 1.4b,No,39.62 cm (15.6 inch),1920 x 1080 pixel,Full HD TN 250nits Anti-glare,Built-in Dual Speakers,Built-in array microphones,"11ac, 2x2",v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,2 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802L3IN | 82H801LHIN Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","₹38,990",https://rukminim1.flixcart.com/image/416/416/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70,Lenovo,,"Comp1,Flipkart",27293.0,5458
"Laptop, Power Adaptor, User Guide, Warranty Documents",X515JA-EJ362WS,90NB0SR2-M44040,X515JA-EJ362WS,VivoBook 15 (2022),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1005G1,1.2 GHz upto max turbo frequency at 3.4 Ghz,4,Intel Integrated UHD,,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A,1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1x HDMI 1.4 port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD (200nits, 45% NTSC color gamut, non-OLED, Anti-glare display)",Built-in Speakers,Built-in Microphone,Wi-Fi 5(802.11ac) 1x1,v4.1,360.2 x 234.9 x 19.9 mm,1.80 kg,Not Available,VGA Webcam,Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹32,990",https://rukminim1.flixcart.com/image/416/416/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70,ASUS,2 cell,"Comp1,Flipkart",23093.0,4618
"Laptop, Battery, Power Adapter, User Guide",Modern 14 B10MW-639IN,9S7-14D114-639,,Modern 14,Carbon Grey,Notebook,Processing & Multitasking,No,Intel,Core i5,Yes,512 GB,8 GB,DDR4,10210U,4.2 GHz Max Turbo Frequency,,Intel Integrated UHD,4.0,64 bit,Windows 10 Home,,Yes,"1 x Type-C USB 3.2 Gen2, 2 x Type-A USB 2.0",1 x HDMI (4K @ 30Hz),No,35.56 cm (14 inch),1920 x 1080 Pixels,Full HD 60Hz 45%NTSC IPS-Level Display,Built-in Speaker,Built-in Microphone,Intel Wireless-AC 9560 (2*2 a/c),v5.1,319 x 220.2 x 16.9,1.3 Kg,Not Available,720p HD Webcam (30 fps),Single Backlight White Keyboard,Yes,1 Year On-Site Warranty,On-Site & Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill",1 Year,"MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-639IN Notebook  (14 inch, Carbon Grey, 1.3 Kg)","₹41,990",https://rukminim1.flixcart.com/image/416/416/ko0d6kw0/computer/a/f/n/modern-14-b4mw-410in-notebook-msi-original-imag2km2byc24psz.jpeg?q=70,MSI,3 Cell,"Comp1,Flipkart",29393.0,5878
"1 Laptop, 1 Power Adaptor, 1 Power cord, User Manual",JYU4431IN,JYU4366IN,RedmiBook 15 Pro,15 Pro,Charcoal Gray,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,i5-11300H,3.1 GHz with Turbo Boost up to 4.4 GHz,8 MB,Intel Integrated Iris Xe,4.0,,Windows 10 Home,,Yes,"2 X USB 3.2 Gen1, 1 x USB 2.0",1 x HDMI Port(1.4),No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD Anti glare display, 81.8% Screen to Body ratio and DC Dimming",Built-in Stereo Speakers,Built-in microphone,,v5.0,363.8 x 243.5 x 19.9 mm,1.8 kg,Not Available,720p HD Webcam,"Chiclet keyboard with Scissor mechanism, 1.5mm key travel",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,"RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)","₹39,990",https://rukminim1.flixcart.com/image/416/416/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70,RedmiBook,,"Comp1,Flipkart",27993.0,5598
"Laptop, Power Adaptor, User Guide, Warranty Documents",15ALC6,82KU017KIN,15ALC6,IdeaPad 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,5500U,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,11,AMD Radeon AMD,6.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",1 x HDMI 1.4b,No,39.62 cm (15.6 inch),1920 x 1080 pixel,"Full HD TN 250nits Anti-glare, 45% NTSC",Built-in Dual Speakers,Built-in array microphones,"11ac, 2x2",v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p with Privacy Shutter,"Backlit, English",Yes,2 Years Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","₹45,990",https://rukminim1.flixcart.com/image/416/416/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,Lenovo,,"Comp1,Flipkart",32193.0,6438
"Laptop, battery, adapter, cables and user manuals",Inspiron 3525,D560766WIN9BE,Inspiron 3525,Inspiron,Carbon Black,Notebook,Everyday Use,Yes,AMD,Athlon Dual Core,Yes,256 GB,8 GB,DDR4,3050U,3.2,4,AMD Radeon Radeon Graphics,2.0,64 bit,Windows 11 Home,Windows 11,Yes,"2x USB 3.2 Gen 1, 1x USB 2.0",1x HDMI 1.4 port,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,HD AG Narrow Border,Yes,Yes,802.11ac,v5.0,358 x 210 x 23.5 mm,1.68 Kg,Not Available,HD,English International Non Backlit Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook  (15.6 Inch, Carbon Black, 1.68 Kg, With MS Office)","₹32,390",https://rukminim1.flixcart.com/image/416/416/l1dwknk0/computer/e/u/0/inspiron-3525-notebook-dell-original-imagcyrebyny33kd.jpeg?q=70,DELL,3,"Comp1,Flipkart",22673.0,4534
"Laptop, Power Adaptor, User Guide, Warranty Documents",X515JA-BQ322WS,90NB0SR2-M00R10,X515JA-BQ322WS,VivoBook 15 (2022),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1005G1,1.2 GHz upto max turbo frequency at 3.4 Ghz,4,Intel Integrated UHD,2.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit, IPS-level Panel, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in Speaker,Built-in microphone,Wi-Fi 5(802.11ac),v4.1,360.2 x 234.9 x 19.9 mm,1.80 kg,Not Available,VGA camera,Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ322WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹32,990",https://rukminim1.flixcart.com/image/416/416/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70,ASUS,2 cell,"Comp1,Flipkart",23093.0,4618
"Laptop , Adaptor, & Manual",M515DA-BQ722WS,90NB0T42-M00BB0,Vivobook 15,Vivobook 15,Transparent Silver,Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Performance, Travel & Business",Yes,AMD,Ryzen 7 Quad Core,Yes,512 GB,16 GB,DDR4,AMD R7-3700U,2.3 Ghz With Turbo Upto 4.0,,AMD Radeon Radeon RX Vega 10 Graphics,4.0,64 bit,Windows 11 Home,,Yes,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",1x HDMI,No,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,"15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, IPS-level Panel, 250nits, 45% NTSC color gamut, Anti-glare display, Screen-to-body ratio: 83 ?",SonicMaster Built-in speaker Built-in microphone with Cortana support,Yes,Wi-Fi 5(802.11ac)+Bluetooth 4.2 (Dual band) 2*2,4.2,36.02 x 23.49 x 1.99 ~ 1.99 cm,1.8 kg,Not Available,VGA,Chiclet Keyboard,No,1 Year On site Manufacturing warranty,Onsite,Manufacturing Defects,Any type of damage,1 Year,"ASUS Vivobook 15 Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M515DA-BQ722WS Laptop  (15.6 inch, Transparent Silver, 1.8 kg, With MS Office)","₹46,990",https://rukminim1.flixcart.com/image/416/416/l13whow0/computer/c/i/5/m515da-bq722ws-laptop-asus-original-imagcrfydehgz68r.jpeg?q=70,ASUS,,"Comp1,Flipkart",32893.0,6578
"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-GY0501AU,4R8B8PA#ACJ,15s-GY0501AU,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 3 Dual Core,Yes,256 GB,8 GB,DDR4,3250U,2.6 GHz to max turbo frequency at 3.5 Ghz,,AMD Radeon AMD,2.0,64 bit,Windows 11 Home,Windows 11,,"1 x SuperSpeed USB Type-C, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4 port,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD (Micro-edge, anti-glare, Brightness: 220 nits, 141 ppi, Color Gamut: 45% NTSC)",Built-in Dual Speakers,Built-in dual array digital microphones,RTL8821CE 802.11b/g/n/ac (1x1),v4.2,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD camera,"Full-size, natural silver keyboard with numeric keypad",No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-GY0501AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","₹31,990",https://rukminim1.flixcart.com/image/416/416/ktaeqvk0/computer/b/7/4/15s-gy0501au-thin-and-light-laptop-hp-original-imag6z6muntqnzzc.jpeg?q=70,HP,3 cell,"Comp1,Flipkart",22393.0,4478
"Laptop, battery, adapter, cables and user manuals",15IML05,"81WB0193IN, 81WB01BNIN, 81WB01EAIN, 81WB018EIN",15IML05,IdeaPad 3,Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,10110U,Max Frequency Up to 4.1 GHz,,Intel Integrated UHD,,,Windows 11 Home,Windows 11,Yes,"1 x USB 2.0, 2 x USB 3.2 Gen 1",1 x HDMI 1.4 b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD TN 220nits Anti-glare,Built-in Stereo Speakers,Built-in array microphone,"11ac, 2x2",v5.0,362.2 x 253.4 x 19.9 mm,2.38 kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,2 Years Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 2.38 kg, With MS Office)","₹30,990",https://rukminim1.flixcart.com/image/416/416/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,Lenovo,,"Comp1,Flipkart",21693.0,4338
"Laptop, Power Adapter, User Guide, Warranty Documents",14IGL05,81WH007KIN|81WH007YIN,14IGL05,IdeaPad 3,Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Celeron Dual Core,Yes,256 GB,4 GB,DDR4,N4020,Max Frequency Up to 2.8 GHz,4 MB,Intel Integrated UHD,,64 bit,Windows 11 Home,"Windows 10 Home 64, English",Yes,"1 x USB 2.0, 2 x USB 3.2 Gen 1",1 x HDMI 1.4b,No,35.56 cm (14 inch),1366 x 768 Pixel,HD TN 220nits Anti-glare,Built-in Dual Speakers,Built-in dual array digital microphones,"11ac, 2x2",v5.0,327.1 x 241 x 19.9 mm,1.5 kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,1 Year Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,1 Year,"Lenovo IdeaPad 3 Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.5 kg, With MS Office)","₹24,990",https://rukminim1.flixcart.com/image/416/416/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70,Lenovo,,"Comp1,Flipkart",17493.0,3498
"Laptop, battery, adapter, cables and user manuals",M515DA-BQ322TS,90NB0T42-M20410,M515DA-BQ322TS,,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 3 Dual Core,Yes,256 GB,8 GB,DDR4,3250U,2.6 GHz with Turbo Boost Upto 3.5 GHz,4 MB,AMD Radeon AMD,2.0,64 bit,Windows 10 Home,Windows 10 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD Anti-glare display (NTSC: 45%, 250nits)",Built-in speaker,Built-in microphone,Wi-Fi 5(802.11ac),v4.2,360 x 235 x 19.9 mm,1.80 kg,Not Available,VGA camera,Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"ASUS Ryzen 3 Dual Core 3250U 3rd Gen - (8 GB/256 GB SSD/Windows 10 Home) M515DA-BQ322TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹31,990",https://rukminim1.flixcart.com/image/416/416/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70,ASUS,2 cell,"Comp1,Flipkart",22393.0,4478
"Laptop, Power Adaptor, User Guide, Warranty Documents",14s-dq2606tu,536B5PA#ACJ,14s-dq2606tu,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,,3.7,8,Intel Integrated UHD Graphics,4.0,64 bit,Windows 11 Home,Windows 10 Home,Yes,"1x SuperSpeed USB Type-C 5Gbps signaling rate, 2x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4b,No,35.56 cm (14 Inch),1920 x 1080 Pixels,"FHD,IPS,micro-edge, BrightView (Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC)",Dual Speakers,Integrated dual array digital microphone,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,324 x 225 x 17.9 mm,1.46 Kg,Not Available,HP TrueVision 720p HD Camera,Full-size Natural Silver Backlit keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s-dq2606tu Thin and Light Laptop  (14 Inch, Natural Silver, 1.46 Kg, With MS Office)","₹40,990",https://rukminim1.flixcart.com/image/416/416/l0zm64w0/computer/k/h/m/14s-dq2606tu-thin-and-light-laptop-hp-original-imagcnsfnrzvzbs6.jpeg?q=70,HP,3,"Comp1,Flipkart",28693.0,5738
"Laptop, battery, adapter, cables and user manuals",X413EA-EB533WS,90NB0RL8-M005S0,X413EA-EB533WS,VivoBook Ultra 14 (2021),Dreamy White,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1135G7,2.4 GHz with Turbo Boost Upto 4.2 GHz,8M,Intel Integrated Iris Xe,,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1x HDMI 1.4 port,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD (IPS-level Panel, 250nits, 45% NTSC color gamut, non-OLED, Anti-glare display)",Built-in Speakers,Built-in Microphone,Wi-Fi 6(802.11ax) 2x2,v5.0,324 x 215 x 19.1 mm,1.40 kg,Not Available,720p HD camera,Backlit Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"ASUS VivoBook Ultra 14 (2021) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X413EA-EB533WS Thin and Light Laptop  (14 inch, Dreamy White, 1.40 kg, With MS Office)","₹55,990",https://rukminim1.flixcart.com/image/416/416/kh9gbrk0/computer/a/s/k/asus-na-thin-and-light-laptop-original-imafxbj7gyrpudka.jpeg?q=70,ASUS,3 cell,"Comp1,Flipkart",39193.0,7838
"Laptop, Power Adaptor, User Guide, Warranty Documents",Z2-493,UN.431SI.146,Z2-493,,Rose Gold,Thin and Light Laptop,"Everyday Use, Processing & Multitasking, Travel & Business",No,AMD,Ryzen 3 Dual Core,Yes,256 GB,8 GB,DDR4,3250U,2.60 Ghz with Max Turbo Frequency up to 3.5 Ghz,,AMD Radeon Radeon Graphics,2.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"2 x USB 3.2 Gen 1 Type, 1 x USB 3.2 (Gen1) Type C",,No,35.56 cm (14 inch),1366 x 768 Pixels,"HD, Acer ComfyView LED-backlit TFT LCD",Two built-in speakers,Built-in Dual Microphones,802.11b/g/n/ac wireless LAN,v4.2,325.9 x 226.9 x 20.9 mm,1.5 Kg,Not Available,HD Webcam,Isolated Keys keyboard with touchpad with multi gesture and scrolling Function,No,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,,"acer Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) Z2-493 Thin and Light Laptop  (14 inch, Rose Gold, 1.5 Kg)","₹29,990",https://rukminim1.flixcart.com/image/416/416/xif0q/computer/u/i/a/-original-imagg9h24c6w9aaa.jpeg?q=70,acer,3,"Comp1,Flipkart",20993.0,4198
"Laptop, Power Adaptor, User Guide, Warranty Documents",X515EA-EJ332WS,90NB0TY2-M01CD0,X515EA-EJ332WS,VivoBook 15 (2022),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1115G4,"Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",6,Intel Integrated UHD,2.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit, 200nits, 45% NTSC color gamut, Anti-glare display",Built-in Speaker,Built-in microphone,Wi-Fi 5(802.11ac),v4.1,360 x 235 x 19.9 mm,1.80 kg,Not Available,VGA camera,Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"ASUS VivoBook 15 (2022) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹37,990",https://rukminim1.flixcart.com/image/416/416/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70,ASUS,2 cell,"Comp1,Flipkart",26593.0,5318
"Laptop, Power Adaptor, User Guide, Warranty Documents",15s- fq5010TU,67V53PA#ACJ,15s- fq5010TU,,Natural Silver,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Travel & Business",Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1240P,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.4 GHz",12,Intel Integrated Iris Xe,10.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 10Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, UWVA, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP Wide Vision 720p HD camera with temporal noise reduction,"Full-size, backlit natural silver keyboard with numeric keypad",Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"HP Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq5010TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)","₹57,990",https://rukminim1.flixcart.com/image/416/416/l4fxh8w0/computer/t/x/a/-original-imagfc54uwzmywgr.jpeg?q=70,HP,3 cell,"Comp1,Flipkart",40593.0,8118
"Laptop, Power Adapter, User Guide, Warranty Documents",14s-fq1089au,50M59PA#ACJ,14s-fq1089au,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,5300U,3.8,4,AMD Radeon Radeon Graphics,4.0,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x SuperSpeed USB Type-C, 2x SuperSpeed USB Type-A",1x HDMI 1.4b,No,35.56 cm (14 Inch),1920 x 1080 Pixels,"FHD, IPS, micro-edge, BrightView, (Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC)",Built in dual speakers,Integrated dual array digital microphones,Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi,v4.2,324 x 225 x 17.9 mm,1.46 Kg kg,Not Available,HP True Vision 720p HD camera,"Full-size, backlit, natural silver keyboard",Yes,1 Year onsite warranty,Onsite,Manufacturing defects,Physical damage,1 Year,"HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1089au Thin and Light Laptop  (14 Inch, Natural Silver, 1.46 Kg kg, With MS Office)","₹38,990",https://rukminim1.flixcart.com/image/416/416/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70,HP,3,"Comp1,Flipkart",27293.0,5458
"Laptop, battery, adapter, cables and user manuals",M415DA-EB712WS,90NB0T31-M003U0,M415DA-EB712WS,VivoBook 14 (2021),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 5 Quad Core,Yes,512 GB,8 GB,DDR4,3500U,"Base Frequency 2.10 GHz, Max Turbo Boost Frequency Up to 3.7 GHz",6,AMD Radeon Vega 8,,32 bit,Windows 11 Home,Windows 11 Home,,"1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4 port,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD LED Backlit, IPS-level Panel, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in Speaker,Built-in Microphone,Wi-Fi 5(802.11ac),v4.1,325.4 x 216 x 19.9 mm,1.60 kg,Not Available,VGA camera,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,"ASUS VivoBook 14 (2021) Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB712WS Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg, With MS Office)","₹38,990",https://rukminim1.flixcart.com/image/416/416/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70,ASUS,,"Comp1,Flipkart",27293.0,5458
